Board,Designator,Quantity,Component,Manufacturer ID,Digikey Number
Control,C1,1,4.7uF,CL10A475KP8NNNC,1276-1044-1-ND
Control,C2,1,10uF,CL10A106KQ8NNNC,1276-1038-1-ND
Control,C3,1,100nF,CC0603KRX7R7BB104,311-1088-1-ND
Control,CR1,1,PESD1CAN_215,PESD1CANVL,1727-PESD1CANVLCT-ND
Control,"D1,D2,D3,D6,D7,D8,D9,D10",8,LED (R),XZCM2CRK53WA-8VF,1497-XZCM2CRK53WA-8VFCT-ND
Control,D4,1,LED (G),XZCDGK53W-8VF,1497-XZCDGK53W-8VFCT-ND
Control,D5,1,LED (B),XZCFBB53W-8VF,1497-XZCFBB53W-8VFCT-ND
Control,J1,1,Barrel Jack,PJ-102AH,CP-102AH-ND
Control,J2,1,Screw Terminal (1x10),1729092,277-1244-ND
Control,"R1,R2",2,60Ω,CRCW120660R0KNEAIF,541-CRCW120660R0KNEAIFCT-ND
Control,R3,1,10KΩ,RES 10K OHM 1% 1/10W 0603,311-10.0KHRCT-ND
Control,R4,1,100KΩ,ERJ-3EKF1003V,P100KHCT-ND
Control,"R5,R6,R7",3,PTA4543,PTA4543-2015DPA103,PTA4543-2015DPA103-ND
Control,"R8,R9,R10,R13,R14,R15,R16,R17",8,750Ω,RMCF1206JT750R,RMCF1206JT750RCT-ND
Control,"R11,R12",2,325Ω,ERA-3AEB331V,P330DBCT-ND
Control,S1,1,Rotary Switch,RM103772BCB,CKN10697-ND
Control,"SW1,SW2",2,Slide Switch,OS102011MS2QN1,CKN9565-ND
Control,U1,1,PicoW,SC0918,2648-SC0918CT-ND
Control,U2,1,SN65HVD230DR,SN65HVD230DR,296-11654-1-ND
Control,U3,1,FDN340P,FDN340P,4518-FDN340PCT-ND
Control,U4,1,DMG2305UX-7,DMG2305UX-7,DMG2305UX-7DICT-ND
Face,C1,1,4.7uF,CL10A475KP8NNNC,1276-1044-1-ND
Face,C2,1,10uF,CL10A106KQ8NNNC,1276-1038-1-ND
Face,C3,1,100nF,CC0603KRX7R7BB104,311-1088-1-ND
Face,"C4,C5",2,4.7uF,CL10A475KP8NNNC,1276-1044-1-ND
Face,CR1,1,PESD1CAN_215,PESD1CANVL,1727-PESD1CANVLCT-ND
Face,"D1,D2",2,LED (THT),151051RS11000,732-5016-ND
Face,J1,1,Screw Terminal (1x2),1935161,277-1667-ND
Face,"J2,J3",2,Screw Terminal (1x5),1935190,277-1580-ND
Face,J4,1,Big Screw Terminal (1x2),282856-2,A98355-ND
Face,"Q1,Q2,Q5,Q6",4,Beefy NFet,IRLB8721PBF,IRLB8721PBF-ND
Face,"R1,R2",2,60Ω,CRCW120660R0KNEAIF,541-CRCW120660R0KNEAIFCT-ND
Face,R3,1,100KΩ,ERJ-3EKF1003V,P100KHCT-ND
Face,R4,1,10KΩ,RES 10K OHM 1% 1/10W 0603,311-10.0KHRCT-ND
Face,"R5,R6",2,240Ω,ERJ-3EKF2400V,P240HCT-ND
Face,U1,1,SN65HVD230DR,SN65HVD230DR,296-11654-1-ND
Face,U2,1,PicoW,SC0918,2648-SC0918CT-ND
Face,U3,1,FDN340P,FDN340P,4518-FDN340PCT-ND
Face,U5,1,DMG2305UX-7,DMG2305UX-7,DMG2305UX-7DICT-ND
Face,U6,1,5V Converter,NCP1117ST50T3G,NCP1117ST50T3GOSCT-ND
Sensor,C1,1,4.7uF,CL10A475KP8NNNC,1276-1044-1-ND
Sensor,C2,1,10uF,CL10A106KQ8NNNC,1276-1038-1-ND
Sensor,C3,1,100nF,CC0603KRX7R7BB104,311-1088-1-ND
Sensor,CR1,1,PESD1CAN_215,PESD1CANVL,1727-PESD1CANVLCT-ND
Sensor,J1,1,3-pin female header (microphone),PPTC031LFBN-RC,S7001-ND
Sensor,J2,1,Barrel Jack,PJ-102AH,CP-102AH-ND
Sensor,J3,1,Screw Terminal (1x2),1935161,277-1667-ND
Sensor,"R1,R2",2,60Ω,CRCW120660R0KNEAIF,541-CRCW120660R0KNEAIFCT-ND
Sensor,R3,1,100KΩ,ERJ-3EKF1003V,P100KHCT-ND
Sensor,"R4,R7",2,10KΩ,RES 10K OHM 1% 1/10W 0603,311-10.0KHRCT-ND
Sensor,"R5,R6",2,4.7KΩ,RC0603FR-074K7L,311-4.70KHRCT-ND
Sensor,U1,1,SN65HVD230DR,SN65HVD230DR,296-11654-1-ND
Sensor,U2,1,FDN340P,FDN340P,4518-FDN340PCT-ND
Sensor,U3,1,PicoW,SC0918,2648-SC0918CT-ND
Sensor,U4,1,Ambient Light,VEML6030-GS15,VEML6030-GS15CT-ND
Sensor,U5,1,DMG2305UX-7,DMG2305UX-7,DMG2305UX-7DICT-ND